id,name,rankk,pod,dod,image,,,,,,
,Kyle Milliken,Senior Chief Special Warfare Operator (SEAL),Somalia,5-May-17,https://www.navysealfoundation.org/wp-content/uploads/2017/05/Kyle-Milliken.jpg,,,,,,
,"William "Ryan" Owens",Senior Chief Special Warfare Operator (SEAL),Yemen,29-Jan-17,https://www.navysealfoundation.org/wp-content/uploads/2017/02/SEAL-William-Ryan-Owens.jpg,,,,,,
,Jason C. Finan,Chief Petty Officer (EOD),Iraq,20-Oct-16,https://www.navysealfoundation.org/wp-content/uploads/2016/11/Jason-C-Finan.jpg,,,,,,
,"Charles Humphrey Keating IV",Chief Special Warfare Operator (SEAL),Iraq,3-May-16,https://www.navysealfoundation.org/wp-content/uploads/2016/06/Charles-Keating.jpg,,,,,,
,Christian M. Pike,Chief Cryptologic Technician Technical (TECH),Germany,13-Mar-13,https://www.navysealfoundation.org/wp-content/uploads/2016/06/Christian_Pike.jpg,,,,,,
,Nicolas D. Checque,Chief Special Warfare Operator (SEAL),AFGHANISTAN,8-Dec-12,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Nicolas-G-Checque.jpg,,,,,,
,Kevin R. Ebbert,Special Warfare Operator 1st Class (SEAL),Afghanistan,24-Nov-12,https://www.navysealfoundation.org/wp-content/uploads/2012/11/kevin-ebbert.jpg,,,,,,
,Matthew G. Kantor,Special Warfare Operator 1st Class (SEAL),Afghanistan,1-Nov-12,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Matthew-G-Kantor.jpg,,,,,,
,Sean P. Carson,Explosive Ordnance Disposal Technician 1st Class (EOD),Afghanistan,16-Aug-12,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Sean-P-Carson-1.jpg,,,,,,
,Patrick D. Feeks,Special Warfare Operator 1st Class (SEAL),Afghanistan,16-Aug-12,https://www.navysealfoundation.org/wp-content/uploads/2012/08/Patrick-Feeks.jpg,,,,,,
,David J. Warsen,Special Warfare Operator 1st Class (SEAL),Afghanistan,16-Aug-12,https://www.navysealfoundation.org/wp-content/uploads/2012/08/David-Warsen-1.jpg,,,,,,
,Christopher E. Mosko,Lieutenant (EOD),Afghanistan,26-Apr-12,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Christopher-E-Mosko.jpg,,,,,,
,Caleb A. Nelson,Special Warfare Operator 1st Class (SEAL),Afghanistan,1-Oct-11,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Caleb-A-Nelson-1.jpg,,,,,,
,Darrik C. Benson,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Darrick-Benson.jpg,,,,,,
,Brian R. Bill,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Brian-R-Bill.jpg,,,,,,
,Christopher G. Campbell,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Christopher-G-Campbell.jpg,,,,,,
,Jared W. Day,Information Systems Technician 1st Class (TECH),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Jared-W-Day.jpg,,,,,,
,John Douangdara,Master at Arms 1st Class (TECH),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/John-Douangdara.jpg,,,,,,
,John W. Faas,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/John-W-Faas.jpg,,,,,,
,Kevin A. Houston,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/kevin-houston.jpg,,,,,,
