,name,rankk,pod,dod,image,
1,Kyle Milliken,Senior Chief Special Warfare Operator (SEAL),Somalia,5-May-17,https://www.navysealfoundation.org/wp-content/uploads/2017/05/Kyle-Milliken.jpg,
2,"William ""Ryan""� Owens",Senior Chief Special Warfare Operator (SEAL),Yemen,29-Jan-17,https://www.navysealfoundation.org/wp-content/uploads/2017/02/SEAL-William-Ryan-Owens.jpg,
3,Jason C. Finan,Chief Petty Officer (EOD),Iraq,20-Oct-16,https://www.navysealfoundation.org/wp-content/uploads/2016/11/Jason-C-Finan.jpg,
4,"Charles Humphrey Keating, IV",Chief Special Warfare Operator (SEAL),Iraq,3-May-16,https://www.navysealfoundation.org/wp-content/uploads/2016/06/Charles-Keating.jpg,
5,Christian M. Pike,Chief Cryptologic Technician Technical (TECH),Germany,13-Mar-13,https://www.navysealfoundation.org/wp-content/uploads/2016/06/Christian_Pike.jpg,
6,Nicolas D. Checque,Chief Special Warfare Operator (SEAL),AFGHANISTAN,8-Dec-12,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Nicolas-G-Checque.jpg,
7,Kevin R. Ebbert,Special Warfare Operator 1st Class (SEAL),Afghanistan,24-Nov-12,https://www.navysealfoundation.org/wp-content/uploads/2012/11/kevin-ebbert.jpg,
8,Matthew G. Kantor,Special Warfare Operator 1st Class (SEAL),Afghanistan,1-Nov-12,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Matthew-G-Kantor.jpg,
9,Sean P. Carson,Explosive Ordnance Disposal Technician 1st Class (EOD),Afghanistan,16-Aug-12,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Sean-P-Carson-1.jpg,
10,Patrick D. Feeks,Special Warfare Operator 1st Class (SEAL),Afghanistan,16-Aug-12,https://www.navysealfoundation.org/wp-content/uploads/2012/08/Patrick-Feeks.jpg,
11,David J. Warsen,Special Warfare Operator 1st Class (SEAL),Afghanistan,16-Aug-12,https://www.navysealfoundation.org/wp-content/uploads/2012/08/David-Warsen-1.jpg,
12,Christopher E. Mosko,Lieutenant (EOD),Afghanistan,26-Apr-12,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Christopher-E-Mosko.jpg,
13,Caleb A. Nelson,Special Warfare Operator 1st Class (SEAL),Afghanistan,1-Oct-11,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Caleb-A-Nelson-1.jpg,
14,Darrik C. Benson,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Darrick-Benson.jpg,
15,Brian R. Bill,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Brian-R-Bill.jpg,
16,Christopher G. Campbell,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Christopher-G-Campbell.jpg,
17,Jared W. Day,Information Systems Technician 1st Class (TECH),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Jared-W-Day.jpg,
18,John Douangdara,Master at Arms 1st Class (TECH),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/John-Douangdara.jpg,
19,John W. Faas,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/John-W-Faas.jpg,
20,Kevin A. Houston,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/kevin-houston.jpg,
21,Jonas B. Kelsall,Lieutenant Commander (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Jonas-B-Kelsall.jpg,
22,Louis Langlais,Master Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Louis-Langlais.jpg,
23,Matthew D. Mason,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Mather-D-Mason.jpg,
24,Stephen M. Mills,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Stephen-M-Mills.jpg,
25,Nicholas H. Null,Chief Explosive Ordnance Disposal Technician (EOD),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Nicholas-Null.jpg,
26,Jesse D. Pittman,Special Warfare Operator 1st Class (SEAL),Afghanistan,6-Aug-11,ht+A1:F27tps://www.navysealfoundation.org/wp-content/uploads/2016/07/Jesse-D-Pittman.jpg,
